  0.000000,   0.000488,   0.002930,   0.046329,   0.992309,   0.168895, 0,0,0,0
  0.000000,   0.000000,   0.002930,   0.044497,   0.985839,   0.168406, 0,0,0,0
  0.000000,   0.000000,   0.002441,   0.045840,   0.984496,   0.164378, 0,0,0,0
  0.000000,   0.000488,   0.003418,   0.046329,   0.990234,   0.164622, 0,0,0,0
  0.000977,   0.000977,   0.001953,   0.040591,   0.989745,   0.168162, 0,0,0,0
  0.000000,   0.000000,   0.002930,   0.042178,   0.993408,   0.167674, 0,0,0,0
  0.000000,   0.000000,   0.003418,   0.045596,   0.985717,   0.165843, 0,0,0,0
 -0.000489,   0.000000,   0.003418,   0.045352,   0.980101,   0.163157, 0,0,0,0
 -0.000489,  -0.000489,   0.003906,   0.040835,   0.987426,   0.166209, 0,0,0,0
  0.000000,   0.000000,   0.003906,   0.041079,   0.984862,   0.170115, 0,0,0,0
  0.000488,  -0.000489,   0.003906,   0.046329,   0.984374,   0.166819, 0,0,0,0
  0.000000,   0.000000,   0.004395,   0.041323,   0.985961,   0.164988, 0,0,0,0
  0.000000,   0.000488,   0.003906,   0.043399,   0.985717,   0.170237, 0,0,0,0
  0.000488,   0.000977,   0.002930,   0.041934,   0.985961,   0.166331, 0,0,0,0
  0.000000,   0.001465,   0.003906,   0.043887,   0.984862,   0.164866, 0,0,0,0
 -0.000489,   0.000000,   0.002930,   0.045718,   0.988647,   0.165965, 0,0,0,0
  0.000488,   0.000488,   0.002930,   0.039126,   0.981810,   0.165843, 0,0,0,0
  0.000000,   0.000000,   0.003418,   0.040713,   0.980956,   0.168162, 0,0,0,0
 -0.000977,   0.000488,   0.003906,   0.040713,   0.984618,   0.166819, 0,0,0,0
 -0.000489,   0.000000,   0.002930,   0.041201,   0.985473,   0.167552, 0,0,0,0
 -0.000977,   0.000000,   0.003906,   0.042422,   0.985351,   0.169017, 0,0,0,0
  0.000977,   0.000000,   0.003418,   0.041323,   0.984130,   0.168040, 0,0,0,0
  0.000488,   0.001465,   0.003418,   0.043399,   0.984252,   0.166819, 0,0,0,0
  0.000000,   0.000000,   0.001465,   0.042788,   0.986816,   0.167796, 0,0,0,0
  0.000000,   0.000000,   0.003418,   0.042544,   0.988769,   0.168284, 0,0,0,0
  0.000000,   0.000000,   0.002930,   0.043521,   0.987182,   0.168162, 0,0,0,0
  0.000000,   0.000000,   0.004395,   0.044375,   0.988158,   0.166575, 0,0,0,0
  0.000000,   0.000000,   0.002441,   0.042422,   0.985961,   0.166819, 0,0,0,0
 -0.000977,   0.000000,   0.003418,   0.044864,   0.985839,   0.167552, 0,0,0,0
 -0.000489,   0.000977,   0.003906,   0.039980,   0.986938,   0.169383, 0,0,0,0
  0.000977,   0.000000,   0.003418,   0.040591,   0.983520,   0.168650, 0,0,0,0
 -0.000489,   0.000488,   0.004395,   0.043521,   0.987182,   0.167308, 0,0,0,0
 -0.000489,   0.000488,   0.002441,   0.044742,   0.989013,   0.164988, 0,0,0,0
  0.000977,   0.000000,   0.002441,   0.043765,   0.984740,   0.165721, 0,0,0,0
  0.000000,   0.000000,   0.004395,   0.040225,   0.984374,   0.167430, 0,0,0,0
  0.000488,   0.000000,   0.003418,   0.041079,   0.981078,   0.170237, 0,0,0,0
 -0.000977,   0.000488,   0.003906,   0.042544,   0.995971,   0.172923, 0,0,0,0
  0.001465,   0.000488,   0.003906,   0.043521,   0.982665,   0.169261, 0,0,0,0
  0.000000,  -0.000489,   0.002441,   0.043277,   0.984862,   0.168650, 0,0,0,0
 -0.000489,   0.000488,   0.003418,   0.042666,   0.987792,   0.169017, 0,0,0,0
 -0.000489,   0.000000,   0.003418,   0.044864,   0.976683,   0.165721, 0,0,0,0
  0.000488,   0.002930,   0.002930,   0.051456,   0.969847,   0.179149, 0,0,0,0
  0.000488,  -0.001954,   0.002930,   0.046939,   0.985961,   0.175609, 0,0,0,0
  0.000000,   0.007812,   0.001953,   0.002258,   1.007081,   0.184887, 0,0,0,0
  0.000000,   0.016602,   0.006836,   0.053775,   0.994751,   0.152292, 0,0,0,0
  0.000000,   0.007812,   0.005371,   0.047549,   0.993408,   0.160105, 0,0,0,0
  0.000000,   0.000977,   0.004395,   0.047671,   0.982421,   0.157053, 0,0,0,0
  0.000000,   0.000000,   0.002930,   0.042300,   0.987426,   0.168284, 0,0,0,0
  0.000000,  -0.000489,   0.002930,   0.042422,   0.983886,   0.166575, 0,0,0,0
 -0.000977,   0.000000,   0.002930,   0.044742,   0.980712,   0.165965, 0,0,0,0
  0.000000,   0.000488,   0.003418,   0.041812,   0.985717,   0.168895, 0,0,0,0
  0.000000,   0.000488,   0.003906,   0.041445,   0.985839,   0.166941, 0,0,0,0
 -0.000977,   0.023438,   0.006348,  -0.059879,   0.995605,   0.150461, 0,0,0,0
  0.000488,   0.032227,   0.010742,   0.002747,   0.984740,   0.172313, 0,0,0,0
  0.000000,   0.013672,   0.006348,   0.095160,   0.973387,   0.187939, 0,0,0,0
