      13,   0.049014,   1.209852,   0.257035
      29,   0.051944,   1.194470,   0.256058
      45,   0.059025,   1.232802,   0.242874
      60,   0.067448,   1.264665,   0.235793
      76,   0.064518,   1.226210,   0.217481
      91,   0.074162,   1.255020,   0.213941
     107,   0.074406,   1.226943,   0.216749
     123,   0.082952,   1.226210,   0.211866
     139,   0.087469,   1.229384,   0.223219
     154,   0.084905,   1.203259,   0.275346
     170,   0.054630,   1.202039,   0.263505
     185,   0.033388,   1.180797,   0.220167
     201,   0.072697,   1.083135,   0.101508
     217,   0.077947,   1.084600,   0.095404
     232,   0.091986,   1.098517,   0.092474
     248,   0.115180,   1.121589,   0.095160
     263,   0.153513,   1.154673,   0.094671
     279,   0.276933,   1.263688,   0.121773
     295,   0.347861,   1.285784,   0.167430
     310,   0.530733,   1.360007,   0.311237
     326,   0.686993,   1.320698,   0.177928
     341,   0.740829,   1.247940,   0.085638
     357,   0.858390,   1.006958,  -0.166331
     373,   0.237380,   0.159861,  -0.055240
     388,  -0.134469,  -0.064030,  -0.330892
     404,   0.083928,  -0.004822,  -0.614356
     420,   0.497528,   0.411951,  -0.935909
     435,   0.209669,   0.865837,  -0.343588
     451,   0.273881,   0.204175,  -0.245437
     466,   0.337240,   0.045962,  -0.223952
     482,   0.668681,   0.019349,  -0.172679
     498,   0.835439,   0.096502,  -0.179515
     513,   1.220717,   0.410731,  -0.408533
     529,   1.422633,   0.600928,  -0.626808
     545,   1.964170,   0.924922,  -1.376854
     560,   2.401941,   0.943966,  -1.975523
     576,   2.995239,   1.142709,  -1.417140
     591,   3.079839,   0.474455,  -0.000916
     607,   0.767808,  -0.720442,   0.388146
     623,   1.368186,  -0.513154,   0.016053
     638,   2.499359,   0.110175,  -0.534029
     654,   2.519380,   0.263993,  -0.240066
     670,   2.111396,   0.230544,  -0.301593
     685,   1.469023,   0.482024,  -0.554782
     701,   1.028810,   0.516694,  -0.817494
     716,   0.803455,   0.436123,  -1.384423
     732,   0.367393,   1.330465,  -1.621010
     748,  -0.394861,   0.509125,  -1.220961
     763,   0.406092,  -0.083440,  -0.711530
     779,   1.189709,  -0.112373,  -0.834463
     795,   1.462430,  -0.001404,  -1.118538
     810,   1.724409,   0.013734,  -1.136117
     826,   1.935848,   0.105048,  -1.090460
     841,   2.006165,  -0.002380,  -0.853873
     857,   2.186108,  -0.050723,  -0.353842
     873,   2.213575,  -0.038882,  -0.295855
     888,   2.305744,  -0.135934,  -0.078923
     904,   1.591589,   0.316242,   0.614234
     920,   0.417445,  -0.059757,   1.532015
     935,  -0.153879,  -1.223891,   1.726119
     951,   0.658915,  -1.307392,   1.084722
     966,   2.191845,  -0.683330,  -0.381676
     982,   2.327474,  -0.545138,  -0.617286
     997,   2.471525,  -0.024599,  -0.608741
    1013,   2.202710,   0.225417,  -0.302814
    1029,   1.120735,   0.436123,  -2.299151
    1044,   0.015687,  -0.073552,  -2.441616
    1060,   0.413783,  -0.153269,  -1.763352
    1076,   1.831716,   0.170482,  -0.847281
    1091,   2.493988,   0.237746,  -0.769151
    1107,   2.585058,   0.116523,  -0.771104
    1123,   2.210279,   0.025941,  -0.587499
    1138,   2.277666,  -0.087347,  -0.483977
    1154,   1.794726,  -0.250931,   0.160349
    1169,   1.400903,  -0.202344,   0.415980
    1185,   0.480681,  -1.018067,   1.753342
    1201,   1.659464,  -0.752182,   0.360068
    1216,   1.971251,  -0.572240,   0.352988
    1232,   2.418666,   0.008240,   0.438198
    1248,   2.595556,   0.367759,   0.338827
    1263,   2.820179,   1.039431,  -0.531832
    1279,   0.595678,   0.925411,  -2.305866
    1294,   0.241409,   0.701032,  -1.753342
    1310,   0.821278,   0.425624,  -1.065556
    1326,   1.663371,   0.364341,  -0.836538
    1341,   2.185619,   0.236526,  -0.625710
    1357,   2.473234,   0.116279,  -0.362388
    1373,   2.220533,  -0.119575,   0.637673
    1388,   1.554599,  -0.336263,   1.181285
    1404,   1.038577,  -0.645975,   1.418727
    1419,   1.225111,  -0.726546,   1.178966
    1435,   1.761033,  -0.689922,   0.279985
    1451,   1.608191,  -0.419886,   0.212354
    1466,   1.373558,  -0.237258,   0.079290
    1482,   1.020265,  -0.182079,  -0.544772
    1498,   0.987914,  -0.119697,  -0.576024
    1513,   0.949460,  -0.027040,  -0.610450
