You entered a buffer length of 3
RAW, 0.111152, 0.523408, -0.855582, AVG ,0.109077, 0.505666, -0.851594
RAW, 0.116279, 0.535250, -0.856803, AVG ,0.111803, 0.517101, -0.853222
RAW, 0.121040, 0.546115, -0.855216, AVG ,0.116157, 0.534924, -0.855867
RAW, 0.125313, 0.558079, -0.856681, AVG ,0.120877, 0.546481, -0.856233
RAW, 0.125801, 0.564549, -0.856314, AVG ,0.124051, 0.556248, -0.856070
RAW, 0.124825, 0.569310, -0.852408, AVG ,0.125313, 0.563979, -0.855134
RAW, 0.118965, 0.572362, -0.840689, AVG ,0.123197, 0.568740, -0.849804
RAW, 0.111396, 0.574803, -0.826039, AVG ,0.118395, 0.572158, -0.839712
RAW, 0.107123, 0.579076, -0.810047, AVG ,0.112495, 0.575414, -0.825592
RAW, 0.104560, 0.577123, -0.801502, AVG ,0.107693, 0.577001, -0.812529
RAW, 0.104682, 0.575169, -0.802478, AVG ,0.105455, 0.577123, -0.804676
RAW, 0.108710, 0.569798, -0.804187, AVG ,0.105984, 0.574030, -0.802722
RAW, 0.114204, 0.565892, -0.802112, AVG ,0.109199, 0.570286, -0.802926
RAW, 0.117256, 0.560276, -0.798816, AVG ,0.113390, 0.565322, -0.801705
RAW, 0.120063, 0.556614, -0.798694, AVG ,0.117174, 0.560927, -0.799874
RAW, 0.124825, 0.555881, -0.799548, AVG ,0.120715, 0.557590, -0.799019
RAW, 0.127754, 0.559543, -0.796008, AVG ,0.124214, 0.557346, -0.798083
RAW, 0.131050, 0.559177, -0.801013, AVG ,0.127876, 0.558200, -0.798856
RAW, 0.134591, 0.563816, -0.806995, AVG ,0.131132, 0.560845, -0.801339
RAW, 0.150705, 0.563328, -0.810657, AVG ,0.138782, 0.562107, -0.806222
RAW, 0.175975, 0.592749, -0.784044, AVG ,0.153757, 0.573298, -0.800565
RAW, 0.178417, 0.610450, -0.763169, AVG ,0.168366, 0.588842, -0.785957
RAW, 0.214918, 0.630715, -0.746444, AVG ,0.189770, 0.611305, -0.764552
RAW, 0.259965, 0.637063, -0.683452, AVG ,0.217767, 0.626076, -0.731022
RAW, 0.308307, 0.612281, -0.694317, AVG ,0.261063, 0.626686, -0.708071
RAW, 0.361167, 0.601660, -0.729476, AVG ,0.309813, 0.617001, -0.702415
RAW, 0.407923, 0.610938, -0.770372, AVG ,0.359132, 0.608293, -0.731388
RAW, 0.430507, 0.593969, -0.763047, AVG ,0.399866, 0.602189, -0.754298
RAW, 0.456632, 0.576390, -0.722761, AVG ,0.431687, 0.593766, -0.752060
RAW, 0.484832, 0.573582, -0.678813, AVG ,0.457324, 0.581314, -0.721540
RAW, 0.521333, 0.586767, -0.646585, AVG ,0.487599, 0.578913, -0.682720
RAW, 0.569920, 0.617286, -0.630471, AVG ,0.525362, 0.592545, -0.651956
RAW, 0.605201, 0.639138, -0.596167, AVG ,0.565485, 0.614397, -0.624408
RAW, 0.624733, 0.626198, -0.558201, AVG ,0.599951, 0.627541, -0.594946
RAW, 0.625710, 0.589941, -0.517182, AVG ,0.618548, 0.618426, -0.557183
RAW, 0.649515, 0.578588, -0.485686, AVG ,0.633319, 0.598242, -0.520356
RAW, 0.674541, 0.559666, -0.469328, AVG ,0.649922, 0.576065, -0.490732
RAW, 0.686016, 0.538180, -0.456632, AVG ,0.670024, 0.558811, -0.470549
RAW, 0.697247, 0.521455, -0.418055, AVG ,0.685935, 0.539767, -0.448005
RAW, 0.743515, 0.517915, -0.439053, AVG ,0.708926, 0.525850, -0.437913
RAW, 0.766465, 0.507172, -0.450894, AVG ,0.735742, 0.515514, -0.436001
RAW, 0.768785, 0.479216, -0.427333, AVG ,0.759588, 0.501434, -0.439093
RAW, 0.771837, 0.454312, -0.395837, AVG ,0.769029, 0.480233, -0.424688
RAW, 0.779650, 0.425258, -0.383874, AVG ,0.773424, 0.452929, -0.402348
RAW, 0.804431, 0.420375, -0.356528, AVG ,0.785306, 0.433315, -0.378746
RAW, 0.831533, 0.447110, -0.339315, AVG ,0.805205, 0.430914, -0.359906
RAW, 0.847159, 0.463957, -0.337972, AVG ,0.827708, 0.443814, -0.344605
RAW, 0.835195, 0.443936, -0.337728, AVG ,0.837962, 0.451668, -0.338338
RAW, 0.836660, 0.416102, -0.327352, AVG ,0.839671, 0.441332, -0.334351
RAW, 0.858390, 0.403040, -0.306598, AVG ,0.843415, 0.421026, -0.323893
RAW, 0.870353, 0.406458, -0.300861, AVG ,0.855134, 0.408533, -0.311604
RAW, 0.880364, 0.430507, -0.299884, AVG ,0.869702, 0.413335, -0.302448
RAW, 0.874016, 0.432827, -0.272661, AVG ,0.874911, 0.423264, -0.291135
RAW, 0.872673, 0.389001, -0.242874, AVG ,0.875684, 0.417445, -0.271806
RAW, 0.895013, 0.337972, -0.233596, AVG ,0.880567, 0.386600, -0.249710
RAW, 0.903559, 0.319417, -0.256180, AVG ,0.890415, 0.348797, -0.244217
RAW, 0.874260, 0.297320, -0.215650, AVG ,0.890944, 0.318236, -0.235142
RAW, 0.909418, 0.303058, -0.161814, AVG ,0.895746, 0.306598, -0.211215
RAW, 0.934566, 0.310139, -0.137521, AVG ,0.906081, 0.303506, -0.171662
RAW, 0.972044, 0.300617, -0.115669, AVG ,0.938676, 0.304605, -0.138335
RAW, 0.990966, 0.295733, -0.112373, AVG ,0.965859, 0.302163, -0.121854
RAW, 0.991821, 0.313190, -0.131905, AVG ,0.984944, 0.303180, -0.119982
RAW, 0.994629, 0.342367, -0.145212, AVG ,0.992472, 0.317097, -0.129830
RAW, 0.971800, 0.318806, -0.128853, AVG ,0.986083, 0.324788, -0.135323
RAW, 0.961790, 0.241531, -0.094305, AVG ,0.976073, 0.300901, -0.122790
RAW, 0.984252, 0.191967, -0.044375, AVG ,0.972614, 0.250768, -0.089178
RAW, 1.013184, 0.181469, -0.022645, AVG ,0.986409, 0.204989, -0.053775
RAW, 1.021363, 0.167308, 0.001892, AVG ,1.006266, 0.180248, -0.021709
RAW, 1.008423, 0.176585, 0.039004, AVG ,1.014323, 0.175121, 0.006084
RAW, 1.027956, 0.195263, 0.061222, AVG ,1.019247, 0.179719, 0.034039
RAW, 1.027101, 0.195385, 0.072453, AVG ,1.021160, 0.189078, 0.057560
RAW, 1.011109, 0.182201, 0.087835, AVG ,1.022055, 0.190950, 0.073837
RAW, 0.992187, 0.131417, 0.086980, AVG ,1.010132, 0.169668, 0.082423
RAW, 0.995117, 0.121406, 0.086614, AVG ,0.999471, 0.145008, 0.087143
RAW, 1.013062, 0.117378, 0.079412, AVG ,1.000122, 0.123400, 0.084335
RAW, 1.046756, 0.120430, 0.074651, AVG ,1.018312, 0.119738, 0.080226
RAW, 1.024904, 0.129463, 0.098334, AVG ,1.028241, 0.122424, 0.084132
